page_number,defendant_address,defendant_name,case_status,filling_date,close_date,case_summary,Sector,Industry,Symbol,Status_2,Headquarters,Company_market,Court,Docket,Judge,Date_Filed,Class_Period_Start,Class_Period_End,Plaintiff_firm,Ref_court,Ref_docket,Ref_judge,Ref_date_filed,Ref_class_period_start,Ref_class_period_end,YEAR_FILED,Breach_Fiduciary_Duties,Merger,Proxy_violation,Related_parties,Stock_Drop,Cash_Flow,Revenue_Rec,Net_Income,Customers,Fourth_Quarter,Third_Quarter,Second_Quarter,Press_Release,10K_Filling,10Q_Filling,Corporate_Governance,Conflicts_Interest,Accounting,Fees,Failed_disclose,False_misleading,Commissions,Bankruptcy,Secondary_Offering,IPO,1934_Exchange_Act,Derivative,10b5,1933_Act,Heavy_trading,Sexual_Misconduct
394,NULL," Sabratek Corporation 
								  
",Settled,1999-01-21,2003-05-28,NULL," Healthcare"," Medical Equipment & Supplies"," SBTK"," Public (Listed)"," United States"," NASDAQ"," N.D. Illinois"," 99-CV-00351 "," Hon. Ruben Castillo",1999-01-21,1998-01-13,1998-11-24,"Kenneth A. Elan (Chicago )30 North LaSalle Street, Suite 3200, Kenneth A. Elan (Chicago ), IL 60602312782.4880  · mmiller@millerfauchner.com"," N.D. Illinois"," 99-CV-00351"," Hon. Ruben Castillo",1999-11-17,1997-02-25,1999-10-06,1999,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
395,NULL," Fundtech Ltd. 
								  
",Dismissed,1999-10-22,2000-08-24,NULL," Technology"," Software & Programming"," FNDT"," Public (Listed)"," Israel"," NASDAQ"," D. New Jersey"," 99-CV-04977"," Hon. William G. Bassler",1999-10-22,1999-10-06,1999-10-06,"Kirby McInerney & Squire LLP830 Third Avenue 10th Floor, Kirby McInerney & Squire LLP, NY 10022212.317.2300  · ",None,None,None,1900-01-01,1900-01-01,1900-01-01,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
397,NULL," Gabelli Global Multimedia Trust, Inc. 
								  
",Dismissed,1997-08-28,1999-01-12,NULL," Financial"," Other (Mutual Fund)"," GGT"," Public (Listed)"," United States"," New York SE"," S.D. New York"," 97-CV-6392"," Hon. Barrington D. Parker, Jr.",1997-08-28,1997-03-03,1997-08-28,"Shapiro Haber & Urmy LLP (Boston)75 State Street, Shapiro Haber & Urmy LLP (Boston), MA 02109617.439.3939 617.439.0134 · info@shulaw.com"," S.D. New York"," 97-CV-6392"," Hon. Barrington D. Parker, Jr.",1997-09-04,1997-03-03,1997-08-28,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
398,NULL," Gadzooks, Inc. 
								  
",Dismissed,1998-08-19,1999-11-01,NULL," Services"," Retail (Apparel)"," GADZ"," Public (Listed)"," United States"," NASDAQ"," N.D. Texas"," 98-CV-01959"," Hon. Jorge A. Solis",1998-08-19,1998-07-09,1998-07-22,"Faruqi & Faruqi LLP (New York) (former)320 East 39th Street, Faruqi & Faruqi LLP (New York) (former), NY 10016212.983.9330 212.983.9331 · Nfaruqi@faruqilaw.com"," N.D. Texas"," 98-CV-01959"," Hon. Jorge A. Solis",1999-03-31,1998-07-09,1998-07-22,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
399,NULL," Safeskin Corporation 
								  
",Settled,1999-03-12,2003-03-26,NULL," Healthcare"," Medical Equipment & Supplies"," SFSK"," Public (Listed)"," United States"," NASDAQ"," S.D. California"," 99-CV-0454"," Hon. Barry T. Moskowitz",1999-03-12,1997-10-23,1999-03-11,"Finkelstein & Krinsk LLP501 West Broadway, Suit 1250, Finkelstein & Krinsk LLP, CA 92101877.493.5366 619.238.5425 · "," S.D. California"," 99-CV-0454"," Hon. Barry T. Moskowitz",1999-12-09,1998-02-18,1999-03-11,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL
400,NULL," Gainsco, Inc. 
								  
",Dismissed,1998-08-25,2000-04-03,NULL," Financial"," Insurance (Prop. & Casualty)"," GNA"," Public (Listed)"," United States"," New York SE"," N.D. Texas"," 98-CV-00727"," Hon. Terry R Means",1998-08-25,1997-11-05,1998-05-15,"Puls Taylor & Woodson512 Main Street - 14th Floor, Puls Taylor & Woodson, TX 76102817.338.1717  · "," N.D. Texas"," 98-CV-00727"," Hon. Terry R Means",1999-02-04,1997-11-05,1998-05-15,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
401,NULL," Galileo Corporation 
								  
",Dismissed,1998-10-21,2001-01-22,NULL," Technology"," Electronic Instruments & Controls"," GAEO"," Public (Listed)"," United States"," NASDAQ"," D. Massachusetts"," 98-CV-12129"," Hon. Reginald C. Lindsay",1998-10-21,1998-04-28,1998-07-23,"Berman DeValerio Pease Tabacco Burt & Pucillo (MA)One Liberty Square, Berman DeValerio Pease Tabacco Burt & Pucillo (MA), MA 2109617.542.8300 617.230.0903 · info@bermanesq.com"," D. Massachusetts"," 98-CV-12129"," Hon. Reginald C. Lindsay",1999-06-21,1998-04-28,1998-07-23,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
402,NULL," Gast Manufacturing Corporation 
								  
",Dismissed,1998-05-22,1999-02-12,NULL," Capital Goods"," Misc. Capital Goods"," "," Privately Held"," United States"," Privately Traded"," N.D. Illinois"," 98-CV-3182"," Hon. Milton I. Shadur",1998-05-22,1996-08-21,1998-05-22,"Susman & Watkins Two First National Plaza; Suite 600, Susman & Watkins, IL 60603312.346.3466  · "," N.D. Illinois"," 98-CV-3182"," Hon. Milton I. Shadur",1998-08-07,1996-08-21,1998-05-22,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
403,NULL," Saf T Lok, Inc. 
								  
",Settled,1998-07-24,2000-02-14,NULL," Consumer Cyclical"," Auto & Truck Parts"," LOCK"," OTC"," United States"," NASDAQ"," S.D. Florida"," 98-CV-8507"," Hon. Daniel T. K. Hurley",1998-07-24,1998-05-26,1998-06-11,"Goodkind Labaton Rudoff & Sucharow LLP100 Park Avenue, Goodkind Labaton Rudoff & Sucharow LLP, NY 10017212.907.0700 212.818.0477 · info@glrslaw.com"," S.D. Florida"," 98-CV-8507"," Hon. Daniel T. K. Hurley",1999-04-05,1998-05-26,1998-06-11,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
404,NULL," St. John Knits Inc. 
								  
",Settled,1998-10-13,2000-04-25,NULL," Consumer Cyclical"," Apparel/Accessories"," SJK"," Public (Listed)"," United States"," New York SE"," C.D. California"," 98-CV-08322"," Hon. A. A. Hauk",1998-10-13,1998-02-25,1998-08-25,"Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA)600 West Broadway, 1800 One America Plaza, Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA), CA 92101800.449.4900  · support@milberg.com"," C.D. California"," 99-CV-00457"," Hon. A. A. Hauk",1999-03-15,1998-02-25,1998-08-25,1998,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
406,NULL," Samsonite 
								  
",Settled,1998-08-28,2000-07-26,NULL," Consumer Cyclical"," Apparel/Accessories"," SAMC"," Public (Listed)"," United States"," NASDAQ"," D. Colorado"," 98-CV-1878"," Hon. Richard P. Matsch",1998-08-28,1997-06-04,1998-08-11,"Bernard M. Gross1500 Walnut Street, Suite 600, Bernard M. Gross, PA 19102215.561.3600 215.561.3000 · bmgross@BernardMGross.com"," D. Colorado"," 98-CV-1878"," Hon. Richard P. Matsch",2000-05-01,1996-09-10,1998-08-11,1998,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
407,NULL," GST Telecommunications Inc. 
								  
",Dismissed,1999-10-21,2001-07-25,NULL," Services"," Communications Services"," GSTXQ"," Public (Listed)"," United States"," NASDAQ"," W.D. Washington"," 99-CV-5548"," Hon. Franklin D. Burgess",1999-10-21,1996-11-04,1998-10-22,"Berman DeValerio Pease Tabacco Burt & Pucillo (CA)425 California Street, Suite 2025, Berman DeValerio Pease Tabacco Burt & Pucillo (CA), CA 94104415.433.3200 415.433.6382 · "," W.D. Washington"," 99-CV-5548"," Hon. Franklin D. Burgess",2000-03-14,1996-11-04,1998-10-22,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
408,NULL," Acxiom Corporation 
								  
",Dismissed,1999-09-20,2002-09-23,NULL," Technology"," Computer Services"," ACXM"," Public (Listed)"," United States"," NASDAQ"," E.D. Arkansas"," 99-CV-00673"," Hon. James M. Moody",1999-09-20,1999-07-23,1999-08-30,"Finkelstein, Thompson & Loughran1050 30th Street, NW, Finkelstein, Thompson & Loughran, DC 20007202.337.8000 202.337.8090 · contact@ftllaw.com"," E.D. Arkansas"," 99-CV-00673"," Hon. James M. Moody",2000-04-17,1999-07-23,1999-08-30,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL
409,NULL," H.J. Meyers, Inc. 
								  
",Settled,1997-09-12,2008-03-06,NULL," Healthcare"," Medical Equipment & Supplies"," PMTI"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 97-CV-6742"," Hon. Ronald L. Ellis",1997-09-12,1996-04-29,1997-03-26,"Curtis V. Trinko LLP16 West 46th Street 7th Floor, Curtis V. Trinko LLP, NY 10036212.490.9550 212.986.0158 · ctrinko@trinko.com "," S.D. New York"," 97-CV-6742"," Hon. Ronald L. Ellis",1997-11-12,1996-02-01,1997-03-26,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
410,NULL," Schein Pharmaceutical, Inc. 
								  
",Settled,1998-09-14,2000-12-12,NULL," Healthcare"," Biotechnology & Drugs"," SHP"," Public (Listed)"," United States"," New York SE"," D. New Jersey"," 98-CV-4311"," Hon. John C. Lifland",1998-09-14,1998-04-09,1998-09-10,"Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA)600 West Broadway, 1800 One America Plaza, Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA), CA 92101800.449.4900  · support@milberg.com"," D. New Jersey"," 98-CV-4311"," Hon. John C. Lifland",1999-03-29,1998-04-09,1998-09-28,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL
411,NULL," Acres Gaming, Inc. 
								  
",Settled,1997-12-17,2001-06-15,NULL," Technology"," Computer Peripherals"," AGAM"," Public (Listed)"," United States"," NASDAQ"," D. Nevada"," 97-CV-01848"," Hon. Philip M. Pro",1997-12-17,1997-03-26,1997-12-11,"Stull, Stull & Brody  (New York)6 East 45th Street, Stull, Stull & Brody  (New York), NY 10017310.209.2468 310.209.2087 · SSBNY@aol.com"," D. Nevada"," 97-CV-01848"," Hon. Philip M. Pro",1998-04-28,1997-03-26,1997-12-11,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
412,NULL," Schick Technologies, Inc. 
								  
",Settled,1998-12-21,2002-02-12,NULL," Healthcare"," Medical Equipment & Supplies"," SCHK"," Public (Listed)"," United States"," NASDAQ"," E.D. New York"," 98-CV-07802"," Hon. Joanna Seybert",1998-12-21,1998-02-04,1998-12-10,"Pomerantz LLP (New York)600 Third Avenue, Pomerantz LLP (New York), NY 10016212.661.1100 212.661.8665 · info@pomerantzlaw.com/"," E.D. New York"," 98-CV-07802"," Hon. Joanna Seybert",1999-11-24,1997-07-01,1999-02-19,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
413,NULL," Schlotzsky's, Inc. 
								  
",Settled,1998-08-26,2002-04-03,NULL," Services"," Restaurants"," BUNZ"," Public (Listed)"," United States"," NASDAQ"," W.D. Texas"," 98-CV-550"," Hon. James R. Nowlin",1998-08-26,1997-04-29,1998-04-05,"Bingham & Lea, P.C.333 Convent Street, Bingham & Lea, P.C., TX 78205-1348210.224.1819  · "," W.D. Texas"," 98-CV-550"," Hon. James R. Nowlin",2001-03-05,1997-04-29,1998-04-05,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
414,NULL," CPS Systems, Inc. 
								  
",Settled,1998-11-30,2003-05-21,NULL," Transportation"," Misc. Transportation"," SYS"," Public (Listed)"," United States"," American SE"," N.D. Texas"," 98-CV-2804"," Hon. A. Joe Fish",1998-11-30,1998-03-25,1998-11-04,"Claxton & Hill3131 McKinney Ave., Suite 700 LB 103, Claxton & Hill, TX 75204-2471214.969.9099  · "," N.D. Texas"," 98-CV-2804"," Hon. A. Joe Fish",2000-10-30,1998-03-25,1998-11-04,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,1,NULL,NULL,1,NULL,NULL
415,NULL," Cabletron Systems, Inc. 
								  
",Settled,1997-10-27,2007-01-24,NULL," Technology"," Computer Networks"," CS"," Public (Listed)"," United States"," New York SE"," D. New Hampshire"," 97-CV-542"," Hon. Shane Devine",1997-10-27,1997-03-03,1997-10-27,"Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA)600 West Broadway, 1800 One America Plaza, Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA), CA 92101800.449.4900  · support@milberg.com"," D. New Hampshire"," 97-CV-542"," Hon. Shane Devine",1999-01-22,1997-03-03,1997-12-02,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
416,NULL," Scholastic Corporation 
								  
",Settled,1997-04-07,2003-04-08,NULL," Services"," Printing & Publishing"," SCHL"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 97-CV-2447"," Hon. John F. Keenan",1997-04-07,1996-12-10,1997-02-20,"Berger & Montague PC1622 Locust Street, Berger & Montague PC, PA 19103800.424.6690 215.875.4604 · investorprotect@bm.net"," S.D. New York"," 97-CV-2447"," Hon. John F. Keenan",1999-03-08,1996-12-10,1997-02-20,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
417,NULL," Candie's 
								  
",Settled,1999-05-17,2000-07-13,NULL," Consumer Cyclical"," Footwear"," CAND"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 99-CV-3618"," Hon. Colleen McMahon",1999-05-17,1997-05-28,1999-05-12,"Abbey Gardy & Squiteri LLP (San Francisco)595 Market Street, Suite 2500, Abbey Gardy & Squiteri LLP (San Francisco), CA 94105415.538.3725  · "," S.D. New York"," 99-CV-3618"," Hon. Colleen McMahon",1999-08-24,1997-05-28,1999-05-12,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
418,NULL," Misc 
								  
",Settled,1999-02-17,2002-09-23,NULL," Financial"," Investment Services"," "," Public (Listed)"," United States"," "," E.D. Louisiana"," 99-CV-00020"," Hon. Thomas K. Moore",1999-02-17,1996-02-01,1999-02-17,"Greenfield & Goodman LLC24579 Deep Neck Road, Greenfield & Goodman LLC, MD 21662410.745.4149 419.745.4158 · whitehatrdg@earthlink.net"," E.D. Louisiana"," 99-CV-02840"," Hon. Thomas K. Moore",1999-09-16,1985-02-01,1995-02-01,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
419,NULL," Advanced NMR 
								  
",Settled,1998-01-05,1999-04-08,NULL," Healthcare"," Medical Equipment & Supplies"," CAPR"," Public (Listed)"," United States"," NASDAQ"," D. Massachusetts"," 98-CV-10002"," Hon. Robert E. Keeton",1998-01-05,1994-08-10,1997-12-12,"Berman DeValerio Pease Tabacco Burt & Pucillo (MA)One Liberty Square, Berman DeValerio Pease Tabacco Burt & Pucillo (MA), MA 2109617.542.8300 617.230.0903 · info@bermanesq.com"," D. Massachusetts"," 98-CV-10002"," Hon. Robert E. Keeton",1998-06-23,1994-08-10,1997-12-12,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
420,NULL," Molten Metal Technologies, Inc. 
								  
",Settled,1998-01-28,2001-08-09,NULL," Basic Materials"," Metal Mining"," MLTN"," Privately Held"," United States"," NASDAQ"," D. Massachusetts"," 98-CV-10161"," Hon. Mark L. Wolf",1998-01-28,1995-08-22,1996-10-18,"Berman DeValerio Pease Tabacco Burt & Pucillo (MA)One Liberty Square, Berman DeValerio Pease Tabacco Burt & Pucillo (MA), MA 2109617.542.8300 617.230.0903 · info@bermanesq.com"," D. Massachusetts"," 98-CV-10161"," Hon. Mark L. Wolf",1998-06-04,1995-08-22,1996-10-18,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
421,NULL," Caribiner International 
								  
",Settled,1999-03-25,2001-10-26,NULL," Services"," Business Services"," CWC"," Public (Listed)"," United States"," New York SE"," S.D. New York"," 99-CV-2271"," Hon. Barbara S. Jones",1999-03-25,1997-07-12,1998-04-24,"Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA)600 West Broadway, 1800 One America Plaza, Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA), CA 92101800.449.4900  · support@milberg.com"," S.D. New York"," 99-CV-2271"," Hon. Barbara S. Jones",2000-01-05,1997-07-12,1998-04-24,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
422,NULL," Casino Data Systems 
								  
",Settled,1996-12-24,1999-09-13,NULL," Technology"," Computer Networks"," CSDS"," Public (Listed)"," United States"," NASDAQ"," D. Nevada"," 96-CV-01191"," Hon. Lloyd D. George",1996-12-24,1996-02-07,1996-12-16,"Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA)600 West Broadway, 1800 One America Plaza, Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA), CA 92101800.449.4900  · support@milberg.com"," D. Nevada"," 96-CV-01191"," Hon. Lloyd D. George",1998-07-13,1996-08-01,1996-12-16,1996,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
423,NULL," Sears, Roebuck & Co. 
								  
",Settled,1997-04-16,1998-08-11,NULL," Services"," Retail (Department & Discount)"," S"," Public (Listed)"," United States"," New York SE"," N.D. Illinois"," 97-CV-02567"," Hon. George W. Lindberg",1997-04-16,1994-04-16,1997-04-16,"Milberg Weiss Bershad Hynes & Lerach LLP (New York, NY)One Pennsylvania Plaza, Milberg Weiss Bershad Hynes & Lerach LLP (New York, NY), NY 10119-1065212.594.5300  · "," N.D. Illinois"," 97-CV-02567"," Hon. George W. Lindberg",1997-06-23,1994-04-16,1997-04-16,1997,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,NULL
424,NULL," Cellstar Corporation 
								  
",Settled,1996-05-14,1999-01-26,NULL," Technology"," Electronic Instruments & Controls"," CLST"," Public (Listed)"," United States"," NASDAQ"," N.D. Texas"," 96-CV-1353"," Hon. Barefoot Sanders",1996-05-14,1995-06-27,1996-04-11,"Claxton & Hill3131 McKinney Ave., Suite 700 LB 103, Claxton & Hill, TX 75204-2471214.969.9099  · "," N.D. Texas"," 96-CV-1353"," Hon. Barefoot Sanders",1996-10-31,1995-02-28,1996-04-12,1996,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
425,NULL," Centocor, Inc. 
								  
",Dismissed,1998-01-16,1999-12-13,NULL," Healthcare"," Biotechnology & Drugs"," CNTO"," Public (Listed)"," United States"," NASDAQ"," E.D. Pennsylvania"," 98-CV-00260"," Hon. Louis C. Bechtle",1998-01-16,1997-12-02,1997-12-16,"Abbey Gardy & Squiteri LLP (San Francisco)595 Market Street, Suite 2500, Abbey Gardy & Squiteri LLP (San Francisco), CA 94105415.538.3725  · "," E.D. Pennsylvania"," 98-CV-00260"," Hon. Louis C. Bechtle",1998-06-02,1997-12-02,1997-12-16,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
426,NULL," Secure Computing Corporation 
								  
",Settled,1999-04-02,2002-11-22,NULL," Technology"," Software & Programming"," SCUR"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 99-CV-01927"," Hon. Claudia Wilken",1999-04-02,1998-11-10,1999-03-31,"Dyer, Donnelly & Lilly825 Logan Street, Dyer, Donnelly & Lilly 80203-3114303.861.3003  · "," N.D. California"," 99-CV-01927"," Hon. Claudia Wilken",2000-08-18,1998-11-10,1999-03-31,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
427,NULL," Century Business Services, Inc. 
								  
",Dismissed,1999-09-16,2004-05-03,NULL," Services"," Business Services"," CBIZ"," Public (Listed)"," United States"," NASDAQ"," N.D. Ohio"," 99-CV-02200"," Hon. Paul R. Matia",1999-09-16,1998-02-06,1998-11-23,"Finkelstein, Thompson & Loughran1050 30th Street, NW, Finkelstein, Thompson & Loughran, DC 20007202.337.8000 202.337.8090 · contact@ftllaw.com"," N.D. Ohio"," 99-CV-02200"," Hon. Paul R. Matia",2001-09-25,1998-02-06,2000-01-28,1999,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL
428,NULL," ADAC Laboratories, Inc. 
								  
",Settled,1998-12-29,2000-09-18,NULL," Healthcare"," Medical Equipment & Supplies"," ADAC"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 98-CV-04934"," Hon. Marilyn Hall Patel",1998-12-29,1996-01-10,1998-12-28,"Berman DeValerio Pease Tabacco Burt & Pucillo (MA)One Liberty Square, Berman DeValerio Pease Tabacco Burt & Pucillo (MA), MA 2109617.542.8300 617.230.0903 · info@bermanesq.com"," N.D. California"," 98-CV-04934"," Hon. Marilyn Hall Patel",1999-07-20,1996-01-10,1998-12-28,1998,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1,NULL,1,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
429,NULL," Security Dynamics Technologies, Inc. 
								  
",Settled,1998-12-09,2001-10-31,NULL," Technology"," Computer Peripherals"," SDTI"," Public (Listed)"," United States"," NASDAQ"," D. Massachusetts"," 98-CV-12496"," Hon. William G. Young",1998-12-09,1997-09-30,1998-07-15,"Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA)600 West Broadway, 1800 One America Plaza, Milberg Weiss Bershad Hynes & Lerach LLP (San Diego, CA), CA 92101800.449.4900  · support@milberg.com"," D. Massachusetts"," 98-CV-12496"," Hon. William G. Young",1999-06-01,1997-09-30,1998-07-15,1998,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
