page_number,defendant_address,defendant_name,case_status,filling_date,close_date,case_summary,Sector,Industry,Symbol,Status_2,Headquarters,Company_market,Court,Docket,Judge,Date_Filed,Class_Period_Start,Class_Period_End,Plaintiff_firm,Ref_court,Ref_docket,Ref_judge,Ref_date_filed,Ref_class_period_start,Ref_class_period_end,YEAR_FILED,Breach_Fiduciary_Duties,Merger,Proxy_violation,Related_parties,Stock_Drop,Cash_Flow,Revenue_Rec,Net_Income,Customers,Fourth_Quarter,Third_Quarter,Second_Quarter,Press_Release,10K_Filling,10Q_Filling,Corporate_Governance,Conflicts_Interest,Accounting,Fees,Failed_disclose,False_misleading,Commissions,Bankruptcy,Secondary_Offering,IPO,1934_Exchange_Act,Derivative,10b5,1933_Act,Heavy_trading
1617,NULL," Vignette Corporation 
								  
",Settled,2001-10-26,2009-10-06,NULL," Technology"," Software & Programming"," VIGN"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," "," Hon. Shir",2001-10-26,1999-02-18,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01 Civ. 9514 (Sas)"," Hon. Shira A. Scheindlin",2002-04-19,1999-02-19,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,1,1,1,NULL,1,1,NULL
1618,NULL," USinternetworking, Inc.  
								  
",Dismissed,2002-06-14,2003-04-11,NULL," Technology"," Computer Services"," USIX"," Public (Listed)"," United States"," NASDAQ"," D. Maryland"," 02-CV-1937"," Hon. Andr",2002-06-14,2000-02-17,2002-01-07,"Finkelstein, Thompson & Loughran1050 30th Street, NW, Finkelstein, Thompson & Loughran, DC 20007202.337.8000 202.337.8090 · contact@ftllaw.com"," D. Maryland"," 02-CV-1937"," Hon. Andre M. Davis",2003-03-17,2000-02-17,2002-01-07,2002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
1619,NULL," Intraware, Inc.  
								  
",Settled,2001-10-24,2009-10-06,NULL," Services"," Communications Services"," ITRA"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-9349"," Hon. Shir",2001-10-24,1999-02-25,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01 Civ. 9349 (Sas)"," Hon. Shira A. Scheindlin",2002-04-19,1999-02-25,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1620,NULL," Ask Jeeves, Inc. 
								  
",Settled,2001-10-24,2009-10-06,NULL," Services"," Business Services"," ASKJ"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-9422"," Hon. Shir",2001-10-24,1999-06-30,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01 Civ. 9422 (Sas)"," Hon. Shira A. Scheindlin",2002-04-19,1999-07-01,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1621,NULL," IXL Enterprises, Inc. 
								  
",Settled,2001-10-25,2009-10-06,NULL," Technology"," Computer Services"," IIXL"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-9417"," Hon. Shir",2001-10-25,1999-06-02,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01-CV-9417"," Hon. Shira A. Scheindlin",2002-04-19,1999-06-02,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1622,NULL," Korea Thrunet Co., Ltd. 
								  
",Settled,2001-10-26,2009-10-06,NULL," Services"," Communications Services"," KOREA"," Public (Listed)"," Korea"," NASDAQ"," S.D. New York"," 01-CV-9442"," Hon. Shir",2001-10-26,1999-11-16,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01 Civ. 9442 (Sas)"," Hon. Shira A. Scheindlin",2002-04-19,1999-11-16,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1623,NULL," Lexent, Inc. 
								  
",Settled,2001-10-26,2009-10-06,NULL," Services"," Communications Services"," LXNT"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-9440"," Hon. Shir",2001-10-26,2000-07-27,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01-CV-9440"," Hon. Shira A. Scheindlin",2002-04-19,2000-07-27,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1624,NULL," TeleCommunication Systems 
								  
",Settled,2001-10-26,2009-10-06,NULL," Technology"," Software & Programming"," TSYS"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-cv-9500"," Hon. Shir",2001-10-26,2000-08-08,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01-cv-9500"," Hon. Shira A. Scheindlin",2002-05-30,2000-08-07,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1625,NULL," Quicklogic Corporation 
								  
",Settled,2001-10-26,2009-10-06,NULL," Technology"," Semiconductors"," QUIK"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," "," Hon. Shir",2001-10-26,1999-10-14,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01 Civ. 9503 (Sas)"," Hon. Shira A. Scheindlin",2002-04-19,1999-10-14,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1626,NULL," MetaSolv Software, Inc.  
								  
",Settled,2001-11-01,2009-10-06,NULL," Technology"," Software & Programming"," MSLV"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-9651"," Hon. Shir",2001-11-01,1999-11-17,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01-CV-9651"," Hon. Shira A. Scheindlin",2002-04-19,1999-11-17,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1627,NULL," Apropos Technology, Inc. 
								  
",Settled,2001-11-01,2004-08-27,NULL," Technology"," Software & Programming"," APRS"," Public (Listed)"," United States"," NASDAQ"," N.D. Illinois"," 01-CV-08406"," Hon. Davi",2001-11-01,2000-02-17,2000-05-15,"Berman DeValerio Pease Tabacco Burt & Pucillo (MA)One Liberty Square, Berman DeValerio Pease Tabacco Burt & Pucillo (MA), MA 2109617.542.8300 617.230.0903 · info@bermanesq.com"," N.D. Illinois"," 01-CV-08406"," Hon. David H. Coar",2002-04-18,2000-02-17,2001-04-10,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
1631,NULL," NextCard, Inc.  
								  
",Settled,2001-11-05,2007-07-25,NULL," Financial"," Consumer Financial Services"," NXCD"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 01-CV-21029"," Hon. Jere",2001-11-05,2000-03-30,2001-10-30,"Bernstein Litowitz Berger & Grossmann LLP (Former New York)1285 Avenue of the Americas, 33rd Floor, Bernstein Litowitz Berger & Grossmann LLP (Former New York), NY 10019212.554.1400 212.554.1444 · blbg@blbglaw.com"," N.D. California"," 01-CV-21029"," Hon. Jeremy Fogel",2005-04-27,2000-04-19,2001-10-30,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
1632,NULL," Sport-Haley, Inc.  
								  
",Settled,2001-10-15,2004-04-29,NULL," Consumer Cyclical"," Apparel/Accessories"," SPOR"," Public (Listed)"," United States"," NASDAQ"," D. Colorado"," 01-CV-02050"," Hon. Lewi",2001-10-15,1996-09-04,2000-10-16,"Dyer & Shuman, LLP 801 E. 17th Avenue, Dyer & Shuman, LLP , CO 80218-1417303.861.3003 800.711.6483 · info@dyershuman.com"," D. Colorado"," 01-CV-02050"," Hon. Lewis T. Babcock",2002-02-26,1996-09-04,2000-10-16,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL
1634,NULL," IMPSAT Fiber Networks 
								  
",Settled,2001-11-01,2009-10-06,NULL," Services"," Communications Services"," IMPT"," Public (Listed)"," Argentina"," NASDAQ"," S.D. New York"," "," Hon. Shir",2001-11-01,2000-02-01,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01-CV-09710"," Hon. Shira A. Scheindlin",2002-04-19,2000-01-31,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1635,NULL," Net Perceptions, Inc. 
								  
",Settled,2001-11-02,2009-10-06,NULL," Technology"," Software & Programming"," NETP"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," "," Hon. Shir",2001-11-02,1999-04-22,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01 Civ. 9675 (Sas)"," Hon. Shira A. Scheindlin",2002-04-19,1999-04-22,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1636,NULL," NorthPoint Communications 
								  
",Settled,2001-10-30,2009-10-06,NULL," Services"," Communications Services"," NPNT"," OTC"," United States"," OTC-BB"," S.D. New York"," 01-CV-9561"," Hon. Shir",2001-10-30,1999-05-05,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01-CV-9561"," Hon. Shira A. Scheindlin",2002-04-19,1999-05-05,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1637,NULL," AvantGo Inc. 
								  
",Settled,2001-10-31,2009-10-06,NULL," Technology"," Computer Services"," AVGO"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-09618"," Hon. Shir",2001-10-31,2000-09-27,2000-12-06,"Bernstein Liebhard & Lifshitz, LLP (New York)10 E. 40th Street, 22nd Floor, Bernstein Liebhard & Lifshitz, LLP (New York), NY 10016800.217.1522  · info@bernlieb.com"," S.D. New York"," 01-CV-09618"," Hon. Shira A. Scheindlin",2002-04-19,2000-09-27,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1638,NULL," DigitalThink, Inc. 
								  
",Settled,2001-10-31,2009-10-06,NULL," Technology"," Computer Services"," DTHK"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-09619"," Hon. Shir",2001-10-31,2000-02-24,2000-12-06,"Bernstein Liebhard & Lifshitz, LLP (New York)10 E. 40th Street, 22nd Floor, Bernstein Liebhard & Lifshitz, LLP (New York), NY 10016800.217.1522  · info@bernlieb.com"," S.D. New York"," 01-CV-09619"," Hon. Shira A. Scheindlin",2002-04-19,2000-02-24,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1639,NULL," Tut Systems, Inc. 
								  
",Settled,2001-10-30,2009-10-06,NULL," Technology"," Communications Equipment"," TUTS"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," "," Hon. Shir",2001-10-30,1999-01-29,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01-CV-9563"," Hon. Shira A. Scheindlin",2002-04-19,1999-01-29,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1640,NULL," Metricom, Inc. 
								  
",Dismissed,2001-11-01,2006-06-28,NULL," Technology"," Communications Equipment"," MCOM"," Public (Listed)"," United States"," NASDAQ"," N.D. California"," 01-CV-04085"," Hon. Phyl",2001-11-01,1999-06-21,2001-07-02,"Law Offices of Charles J. Piven, P.A.World Trade Center-Baltimore,401 East Pratt Suite 2525, Law Offices of Charles J. Piven, P.A., MD 21202410.332.0030  · pivenlaw@erols.com"," N.D. California"," 01-CV-04085"," Hon. Phyllis J. Hamilton",2003-07-29,1999-06-21,2001-07-02,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,1,NULL,1,1,NULL
1641,NULL," Satyam Infoway, Ltd. 
								  
",Settled,2001-11-05,2009-10-06,NULL," Technology"," Computer Services"," SIFY"," Public (Listed)"," India"," NASDAQ"," S.D. New York"," 01-CV-09746"," Hon. Shir",2001-11-05,1999-10-20,2000-12-06,"Bernstein Liebhard & Lifshitz, LLP (New York)10 E. 40th Street, 22nd Floor, Bernstein Liebhard & Lifshitz, LLP (New York), NY 10016800.217.1522  · info@bernlieb.com"," S.D. New York"," 01-CV-09746"," Hon. Shira A. Scheindlin",2002-04-19,1999-10-18,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1642,NULL," Valley Media, Inc. 
								  
",Settled,2001-11-05,2010-01-20,NULL," Consumer Cyclical"," Recreational Products"," VMIX"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-09745"," Hon. Shir",2001-11-05,1999-03-26,2000-12-06,"Bernstein Liebhard & Lifshitz, LLP (New York)10 E. 40th Street, 22nd Floor, Bernstein Liebhard & Lifshitz, LLP (New York), NY 10016800.217.1522  · info@bernlieb.com"," S.D. New York"," 01-CV-09745"," Hon. Shira A. Scheindlin",2002-04-19,1999-03-26,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1643,NULL," High Speed Access Corp. 
								  
",Settled,2001-11-05,2009-10-06,NULL," Technology"," Computer Services"," HSAC"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," "," Hon. Shir",2001-11-05,1999-06-04,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01 Civ. 9743 (Sas)"," Hon. Shira A. Scheindlin",2002-04-19,1999-06-04,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1644,NULL," Alloy, Inc. 
								  
",Settled,2001-11-05,2009-10-06,NULL," Services"," Retail (Catalog & Mail Order)"," ALOY"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," "," Hon. Shir",2001-11-05,1999-05-14,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01 Civ. 9742 (Sas)"," Hon. Shira A. Scheindlin",2002-04-19,1999-05-14,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1645,NULL," Antigenics, Inc. 
								  
",Settled,2001-11-05,2009-10-06,NULL," Healthcare"," Biotechnology & Drugs"," AGEN"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," "," Hon. Shir",2001-11-05,2000-02-03,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01 Civ. 9741 (Sas)"," Hon. Shira A. Scheindlin",2002-04-19,2000-02-03,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1646,NULL," GT Group Telecom, Inc. 
								  
",Settled,2001-11-05,2009-10-06,NULL," Services"," Communications Services"," GTTLB"," Public (Listed)"," Canada"," NASDAQ"," S.D. New York"," "," Hon. Shir",2001-11-05,2000-03-09,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01-CV-09748"," Hon. Shira A. Scheindlin",2002-04-19,2000-03-09,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1647,NULL," Via Net.works, Inc. 
								  
",Settled,2001-11-05,2010-01-20,NULL," Technology"," Computer Services"," VNWI"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-9720"," Hon. Shir",2001-11-05,2000-02-11,2000-12-06,"Bernstein Liebhard & Lifshitz, LLP (New York)10 E. 40th Street, 22nd Floor, Bernstein Liebhard & Lifshitz, LLP (New York), NY 10016800.217.1522  · info@bernlieb.com"," S.D. New York"," 01-CV-9720"," Hon. Shira A. Scheindlin",2002-04-19,2000-02-11,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1648,NULL," UAXS Global Holdings, Inc. 
								  
",Settled,2001-11-05,2010-01-15,NULL," Services"," Communications Services"," UAXS"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-9719"," Hon. Shir",2001-11-05,2000-03-16,2000-12-06,"Bernstein Liebhard & Lifshitz, LLP (New York)10 E. 40th Street, 22nd Floor, Bernstein Liebhard & Lifshitz, LLP (New York), NY 10016800.217.1522  · info@bernlieb.com"," S.D. New York"," 01-CV-9719"," Hon. Shira A. Scheindlin",2002-04-19,2000-03-16,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1649,NULL," Tidel Technologies, Inc. 
								  
",Settled,2001-10-31,2004-10-22,NULL," Technology"," Office Equipment"," ATMS"," Public (Listed)"," United States"," NASDAQ"," S.D. Texas"," 01-CV-3741"," Hon. Davi",2001-10-31,2000-04-06,2001-02-08,"Schoengold & Sporn PC (New York)233 Broadway 39Th Floor, Schoengold & Sporn PC (New York), NY 10279212.964.0046  · "," S.D. Texas"," 01-CV-3741"," Hon. David Hittner",2002-04-10,2000-01-14,2001-02-08,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
1650,NULL," UTStarcom, Inc.  
								  
",Settled,2001-10-31,2009-10-06,NULL," Services"," Communications Services"," UTSI"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-9604"," Hon. Shir",2001-10-31,2000-03-02,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01-CV-9604"," Hon. Shira A. Scheindlin",2002-04-19,2000-03-02,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1651,NULL," Verado Holdings, Inc.  
								  
",Settled,2001-10-30,2009-10-06,NULL," Services"," Communications Services"," VRDO"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-09558"," Hon. Shir",2001-10-30,2000-03-08,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01-CV-09558"," Hon. Shira A. Scheindlin",2002-05-08,2000-03-08,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
1652,NULL," Openwave Systems, Inc. 
								  
",Settled,2001-11-05,2009-10-06,NULL," Technology"," Software & Programming"," OPWV"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," "," Hon. Shir",2001-11-05,1999-06-10,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01 Civ. 9744 (Sas)"," Hon. Shira A. Scheindlin",2002-04-19,1999-06-11,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,1,1,1,NULL,1,1,NULL
1653,NULL," EarthWeb, Inc. 
								  
",Settled,2001-11-05,2009-10-06,NULL," Technology"," Computer Services"," DICE"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," "," Hon. Shir",2001-11-05,1998-11-10,2000-12-06,"Milberg Weiss Bershad & Schulman LLP (New York)One Pennsylvania Plaza, 49th Floor, Milberg Weiss Bershad & Schulman LLP (New York), NY 10119212.594.5300 212.868.1229 · info@milbergweiss.com"," S.D. New York"," 01 Civ. 9747 (Sas)"," Hon. Shira A. Scheindlin",2002-04-19,1998-11-10,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,1,1,1,NULL,1,1,NULL
1654,NULL," TenFold Corporation 
								  
",Settled,2001-11-06,2010-01-14,NULL," Technology"," Software & Programming"," TENF"," Public (Listed)"," United States"," NASDAQ"," S.D. New York"," 01-CV-09797"," Hon. Shir",2001-11-06,1999-05-20,2000-12-06,"Bernstein Liebhard & Lifshitz, LLP (New York)10 E. 40th Street, 22nd Floor, Bernstein Liebhard & Lifshitz, LLP (New York), NY 10016800.217.1522  · info@bernlieb.com"," S.D. New York"," 01-CV-09797"," Hon. Shira A. Scheindlin",2002-04-19,1999-05-21,2000-12-06,2001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,NULL,NULL,1,1,NULL,1,1,NULL
